tempo,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc_delta1,mfcc_delta2,mfcc_delta3,mfcc_delta4,mfcc_delta5,mfcc_delta6,mfcc_delta7,mfcc_delta8,mfcc_delta9,mfcc_delta10,mfcc_delta11,mfcc_delta12,mfcc_delta13,mfcc_delta14,mfcc_delta15,mfcc_delta16,mfcc_delta17,mfcc_delta18,mfcc_delta19,mfcc_delta20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,tonnetz7,tonnetz8,tonnetz9,tonnetz10,spectral_contrast1,spectral_contrast2,spectral_contrast3,spectral_contrast4,spectral_contrast5,spectral_contrast6,spectral_contrast7,spectral_contrast8,spectral_contrast9,spectral_contrast10,spectral_contrast11,spectral_contrast12,spectral_contrast13,filename_label,manele
129.1992188,0.22621891,0.26213768,0.20836209,0.32223484,0.4264951,0.281098,0.33802223,0.2704121,0.43543515,0.3417494,0.24364977,0.28765613,0.19020492,2801.915984,2948.032865,6502.412273,0.110011999,-79.83641,75.934906,22.350151,18.156166,9.889878,11.086929,1.9958048,2.0388808,-1.7474406,6.603034,-8.529541,-0.96255213,-6.741258,0.8887938,-3.7499402,2.1840198,0.11500483,5.054411,1.5873966,2.2850068,-7.22e-06,7.23e-06,0.000193924,-0.000100488,-0.000130455,0.000102539,-0.000155895,-8.3e-06,8.29e-05,-7.25e-05,4.39e-05,0.000181628,-9.79e-05,-4.85e-05,0.000170235,-8.23e-05,-0.000170629,6.43e-05,-3.09e-05,-9.03e-05,0.018194831,-0.146594284,0.018746568,0.017735561,0.005413878,0.006840971,20.71458519,16.56418465,20.65678715,19.85193064,19.83731506,17.76399224,49.28554818,1.0
112.3471467,0.42088053,0.346093,0.5223077,0.4088087,0.4565635,0.40610078,0.37549645,0.42662218,0.32723606,0.355868,0.2781085,0.33803603,0.18679683,2707.899972,2746.667311,5901.13262,0.112334628,-68.24773,72.63824,-0.6682282,20.524506,7.640104,2.5092137,3.129052,2.2898257,-5.6566253,8.342465,-4.3340044,3.0525453,-2.8026752,0.10468423,-4.500478,-2.7071226,-3.900952,1.8058814,0.4169802,6.738337,-0.03315768,-0.002770876,-0.001431644,-0.001827797,-0.000779559,-0.000837624,0.000161832,0.000467952,0.001002403,-0.001040818,-0.000187255,0.000423101,0.000305003,-0.000312212,-0.001324713,0.000488777,0.000550189,-0.000839671,0.000342918,-6.85e-05,0.048510802,0.057407587,0.043315331,-0.003782403,-0.001564743,-0.002527485,21.07689502,16.32688197,18.8035825,17.99203336,18.86889483,18.81002572,47.98852521,1.0
161.4990234,0.4121602,0.3087071,0.34751496,0.38838705,0.40746093,0.53972137,0.39208478,0.4201206,0.40434936,0.35301417,0.35306764,0.32645482,0.26707068,2778.36915,2822.310562,6236.95332,0.12628884,-6.7668915,76.70733,2.7266612,5.6457767,-0.071994275,6.065454,-3.81309,4.302905,-3.6655667,5.34147,0.4892522,5.4967675,-3.9798417,1.1253788,-1.1646395,3.076991,-0.5646259,6.2767987,2.515814,5.18482,9.58e-09,1.8e-09,-1.12e-09,8.23e-10,3.74e-10,8.61e-10,4.49e-10,5.99e-10,-8.98e-10,-6.55e-10,1.27e-09,-1.2e-09,4.49e-10,1.12e-10,-1.2e-09,-7.48e-11,6.73e-10,-5.99e-10,-1.38e-09,-5.24e-10,-0.036354003,0.041226195,-0.018445293,0.026683383,-0.006781866,0.004179385,16.01018616,14.10523867,17.50811948,16.5558702,18.51556944,18.23779269,47.76117811,1.0
117.4538352,0.36793324,0.35091147,0.3194078,0.44301012,0.2791246,0.28468922,0.20895396,0.31517756,0.4023951,0.2873091,0.32291177,0.24934018,0.15717156,2312.616148,2683.636551,5398.500277,0.0813216,-111.74273,92.11394,18.300592,16.89425,8.918265,11.713803,-1.9021407,7.989846,-1.1357607,-0.9915387,1.3700114,-0.60344654,-2.7987754,-1.5581388,-5.1261406,-0.11031813,-7.6149817,0.94817483,-2.7899945,-2.4176939,0.000350497,0.00038793,0.000202845,0.000132668,0.000156364,0.000143627,5.01e-05,-8.91e-05,-0.00021576,-0.000271533,-0.000258205,-0.000234181,-0.00021852,-0.000197277,-0.000190689,-0.000186986,-0.000109624,2.58e-05,8.51e-05,4.66e-05,-0.162803147,0.040061818,-0.006932226,0.068820437,-0.00688233,0.005017456,19.96657252,16.56804698,19.71547089,18.96958022,18.78357704,17.16684092,47.04927834,1.0
95.703125,0.4934266,0.43833244,0.340372,0.4354272,0.45278424,0.6139052,0.43390194,0.41915712,0.40635464,0.36289498,0.35251936,0.33979744,0.20637594,2828.754722,2852.726803,6189.080143,0.099871741,-96.845436,67.1237,10.173536,16.084887,15.561537,13.22851,6.5201826,5.34359,-2.7855444,7.8415565,-1.6226684,2.4670131,-0.73225707,1.0293068,-6.1797643,2.166943,-2.840162,1.4600712,3.5244737,10.375895,0.001473255,0.002032781,0.001656917,0.000952049,0.000519047,0.000557186,0.000498517,3.96e-05,-0.000440671,-0.000609846,-0.00056551,-0.000549077,-0.000682022,-0.000850974,-0.000816067,-0.000550291,-0.00025643,-6.09e-05,3.08e-07,-7.85e-05,-0.017041913,0.039854203,-0.071113124,0.085656874,-0.001371594,-0.01601081,23.1202324,16.47082465,18.5371606,18.32850865,18.44039377,17.34150809,47.22755623,1.0
143.5546875,0.37660795,0.45128503,0.40810043,0.30929968,0.30102763,0.2926384,0.36965093,0.32060325,0.41242135,0.4547146,0.36858654,0.4549767,0.20859121,2251.329337,2498.855332,4910.207737,0.066016089,-166.66066,85.14525,29.234875,24.550543,7.696988,8.699368,1.9543263,3.7962275,5.4783974,2.3987315,-7.2960114,1.9583902,3.745288,2.5584822,2.6513948,8.563981,-3.0006728,1.7779932,-0.05150874,-0.122621246,0.008210468,0.000612875,-0.002692231,-0.000181939,-0.001755707,-0.000749797,-0.000566246,-3.89e-05,0.000542072,0.000170566,3.11e-05,-0.000772802,0.000181162,-0.000701498,0.000110515,2.59e-05,-0.000228582,0.000173624,0.000148542,0.000766466,0.074934181,-0.187433719,0.051381713,-0.18073114,-0.033214167,0.029320625,23.95743901,17.27682793,21.74516413,22.69524618,22.76119185,20.44679841,47.8007982,1.0
107.6660156,0.46468684,0.32228026,0.400988,0.41399565,0.29656258,0.2891499,0.31107035,0.45006812,0.41951805,0.38638222,0.4089033,0.36839658,0.25204906,2939.319571,2906.602212,6436.81233,0.111852962,-52.1608,60.453545,15.047467,26.73332,9.872857,9.5857,3.7967033,1.9029126,-4.6987143,4.472205,-1.9735386,3.3040752,2.3459392,5.027396,-0.76582676,5.358571,-0.73275477,2.5294845,-2.650182,2.7368565,0.006075419,0.00532321,0.002958526,0.003533717,0.000746878,-0.000225174,-0.000176303,-0.001301546,-0.000862013,-0.00050137,-0.000587275,-0.001756392,-0.0013197,0.000309415,0.000212859,-0.000265681,-0.001005469,-0.000713398,-0.000629971,-0.001044416,-0.021136864,0.084192296,0.049810611,-0.004347163,0.003198634,-0.000708115,21.84636933,16.50805132,19.24457134,17.69222574,18.31436526,17.62147379,47.50744388,1.0
143.5546875,0.65384656,0.4851312,0.3557811,0.37311575,0.467245,0.42977616,0.38672805,0.4780086,0.4079941,0.37081298,0.44478577,0.5042281,0.252265,2702.021015,2773.248355,5968.060014,0.098339443,-52.439056,71.817505,7.3824477,22.455507,3.8255215,11.409032,4.4334135,7.007273,-0.3622428,8.270562,1.9075234,4.611525,3.9394271,5.9312234,-1.4205761,2.8319647,-1.8158199,1.9637995,-1.0964916,6.4418063,9.88e-09,-2.88e-09,-2.06e-09,-2.47e-09,1.13e-09,-6.17e-10,1.29e-09,-1.65e-09,7.72e-10,0.0,2.06e-10,-2.06e-10,1.29e-09,1.03e-10,2.06e-10,-1.23e-09,7.72e-11,6.17e-10,7.2e-10,8.23e-10,-0.015044831,0.045073425,0.06179169,0.055538627,0.019447171,0.01323156,19.41218724,14.66858454,16.86726529,16.62330076,16.93697636,16.57550476,47.23703807,1.0
89.10290948,0.39757982,0.31425297,0.40182552,0.3020143,0.40418467,0.39913628,0.26944053,0.363779,0.32769293,0.44034806,0.3479248,0.31951204,0.2277251,2888.27242,2861.248932,6397.014936,0.117854259,-51.850475,66.19321,12.385045,21.444193,5.2188373,14.470053,2.080566,6.1294165,-1.9251386,4.9855576,-1.2878639,3.5872009,-3.1527462,0.13407116,-8.35207,2.435185,-5.770635,0.7214859,-4.015604,2.345397,0.000392715,-0.00012919,0.000251865,-0.000272552,-0.000185715,-0.000263796,-0.000285042,-0.000222467,-0.000228874,-0.000126547,-6.33e-05,0.000145632,-0.000128803,7.92e-06,-0.000506605,-0.000198904,-0.000263839,7.93e-05,0.000156005,0.000130419,0.041020017,0.071325828,-0.035295647,-0.004027977,0.001382372,0.002181425,20.83656333,16.82428856,19.58133372,19.3883369,19.06935601,17.31814474,49.52716976,1.0
172.265625,0.32088563,0.3219559,0.4186158,0.3645685,0.42998502,0.45608696,0.38061136,0.43017223,0.42175758,0.52909684,0.40353212,0.3307078,0.2516259,2690.405742,2884.349966,6166.42215,0.098472404,-71.49181,69.665474,12.787097,17.570526,10.166288,5.641599,5.6332393,7.59668,-1.0762268,9.633794,0.44280013,2.3811917,1.3160208,3.7320957,1.4920988,7.0743966,3.5366845,8.290261,3.7671201,7.1965866,-2.14e-06,-3e-06,-2.97e-06,-2.93e-06,-2.87e-06,-2.8e-06,-2.71e-06,-2.61e-06,-2.49e-06,-2.36e-06,-2.22e-06,-2.06e-06,-1.9e-06,-1.71e-06,-1.52e-06,-1.32e-06,-1.11e-06,-8.88e-07,-6.6e-07,-4.29e-07,0.024885841,0.01900868,-0.021302903,-0.025362657,0.000517646,0.003684528,18.57344865,15.17447394,18.29162605,17.91508578,18.25791722,17.81629473,46.66049909,1.0
